dup_id,dup_name,dup_src,dup_works,dup_events,dup_curated,dup_q,canon_id,canon_name,canon_src,canon_works,canon_curated,canon_q,inter_rel,conf
hai-xi-hou,海西侯,shiji-kb,0,0,0,24,li-guang-li,李广利,shiji-kb,0,0,46,,MED
yan-nian,延年,shiji-kb,0,0,0,28,liyannian,李延年,json,1,1,,,HIGH
li-kui,李悝,shiji-kb,0,0,0,31,li-ke,李克,shiji-kb,0,0,39,,MED
mei-sheng,枚生,shiji-kb,0,0,0,23,meicheng,枚乘,json,1,1,,,HIGH
luan-gong,栾公,shiji-kb,0,0,0,20,luan-bu,栾布,shiji-kb,0,0,46,,MED
hong-yang,弘羊,shiji-kb,0,0,0,24,sang-hong-yang,桑弘羊,shiji-kb,0,0,46,,MED
qu-wo-huan-shu,曲沃桓叔,shiji-kb,0,0,0,22,huan-shu,桓叔,shiji-kb,0,0,37,,MED
cheng-shi,成师,shiji-kb,0,0,0,27,huan-shu,桓叔,shiji-kb,0,0,37,,MED
liu-mai,刘买,shiji-kb,0,0,0,25,liang-gong-wang,梁共王,shiji-kb,0,0,33,,MED
liu-xiang,刘襄,shiji-kb,0,0,0,37,liang-ping-wang,梁平王,shiji-kb,0,0,40,,MED
liu-jiao,刘交,shiji-kb,0,0,0,26,chu-yuan-wang,楚元王,shiji-kb,0,0,47,,MED
chu-huai-wang-zheng-xiu,楚怀王郑袖,shiji-kb,0,0,0,23,zheng-xiu,郑袖,shiji-kb,0,0,46,,MED
yi-di,义帝,shiji-kb,0,0,0,36,chu-huai-wang---yi-di,楚怀王（义帝）,shiji-kb,0,0,40,,MED
chu-pan-chong,楚潘崇,shiji-kb,0,0,0,23,pan-chong,潘崇,shiji-kb,0,0,26,,MED
gong-zi-qi-ji,公子弃疾,shiji-kb,0,0,0,22,chu-ping-wang,楚平王,shiji-kb,0,0,47,,MED
qi-ji,弃疾,shiji-kb,0,0,0,24,chu-ping-wang,楚平王,shiji-kb,0,0,47,,MED
chu-xiong-shuang,楚熊霜,shiji-kb,0,0,0,25,xiong-shuang,熊霜,shiji-kb,0,0,27,,MED
gong-zi-wei-2,公子围,shiji-kb,0,0,0,22,chu-ling-wang,楚灵王,shiji-kb,0,0,47,,MED
liu-wu,刘戊,shiji-kb,0,0,0,25,chu-wang-liu-wu,楚王刘戊,shiji-kb,0,0,37,,MED
shang-chen,商臣,shiji-kb,0,0,0,32,chu-mu-wang,楚穆王,shiji-kb,0,0,46,,MED
di-wu-ding,帝武丁,shiji-kb,0,0,0,25,wu-ding,武丁,shiji-kb,0,0,40,,MED
chu-li-ji,樗里疾,shiji-kb,0,0,0,29,chu-li-zi,樗里子,shiji-kb,0,0,42,,MED
xiao-wu-di,孝武帝,shiji-kb,0,0,0,26,han-wu-di,汉武帝,shiji-kb,0,0,41,,MED
jiao-dong-wang,胶东王,shiji-kb,0,0,0,26,han-wu-di,汉武帝,shiji-kb,0,0,41,,MED
wu-xu-2,毋恤,shiji-kb,0,0,0,28,zhao-xiang-zi,赵襄子,shiji-kb,0,0,47,,MED
xiao-xuan,孝宣,shiji-kb,0,0,0,24,han-xuan-di,汉宣帝,shiji-kb,0,0,45,,MED
xuan-di,宣帝,shiji-kb,0,0,0,28,han-xuan-di,汉宣帝,shiji-kb,0,0,45,,MED
xiao-zhao,孝昭,shiji-kb,0,0,0,29,han-zhao-di,汉昭帝,shiji-kb,0,0,42,,MED
jiang-du-wang,江都王,shiji-kb,0,0,0,23,jiang-du-wang-liu-fei,江都王刘非,shiji-kb,0,0,31,,MED
jiang-du-yi-wang,江都易王,shiji-kb,0,0,0,28,jiang-du-wang-liu-fei,江都王刘非,shiji-kb,0,0,31,,MED
zhang-ru,长孺,shiji-kb,0,0,0,23,ji-an,汲黯,shiji-kb,0,0,47,,MED
he-jian-xian-wang,河间献王,shiji-kb,0,0,0,30,he-xian-xian-wang,河闲献王,shiji-kb,0,0,36,,MED
gong-zi-kui,公子悝,shiji-kb,0,0,0,20,jing-yang-jun,泾阳君,shiji-kb,0,0,41,,MED
ji-bei-wang-liu-zhi,济北王刘志,shiji-kb,0,0,0,33,liu-zhi,刘志,shiji-kb,0,0,38,,MED
ji-bei-wang,济北王,shiji-kb,0,0,0,29,ji-bei-wang-liu-zhi,济北王刘志,shiji-kb,0,0,33,,MED
ji-nan-wang,济南王,shiji-kb,0,0,0,24,ji-nan-wang-liu-pi-guang,济南王刘辟光,shiji-kb,0,0,33,,MED
hun-xie,浑邪,shiji-kb,0,0,0,23,hun-xie-wang-2,浑邪王,shiji-kb,0,0,45,,MED
dian-wang,滇王,shiji-kb,0,0,0,26,zhuang-jue,庄蹻,shiji-kb,0,0,33,,MED
liu-qian,刘迁,shiji-kb,0,0,0,33,huai-nan-tai-zi-qian,淮南太子迁,shiji-kb,0,0,37,,MED
zi-kai,子开,shiji-kb,0,0,0,19,qi-diao-kai,漆彫开,shiji-kb,0,0,34,,MED
zi-yu-3,子羽,shiji-kb,0,0,0,25,tan-tai-mie-ming,澹台灭明,shiji-kb,0,0,40,,MED
guan-jiang-jun,灌将军,shiji-kb,0,0,0,26,guan-ying,灌婴,shiji-kb,0,0,48,,MED
yan-kang-wang,燕康王,shiji-kb,0,0,0,30,liu-jia,刘嘉,shiji-kb,0,0,37,,MED
yan-zhao-gong,燕召公,shiji-kb,0,0,0,45,zhao-gong-shi,召公奭,shiji-kb,0,0,46,,MED
yan-tai-zi-dan,燕太子丹,shiji-kb,0,0,0,46,tai-zi-dan,太子丹,shiji-kb,0,0,46,,MED
tian-rong,田荣,shiji-kb,0,0,0,46,wang2,王,json,7,1,,,HIGH
jiu-fan,咎犯,shiji-kb,0,0,0,24,hu-yan-2,狐偃,shiji-kb,0,0,44,,MED
zi-fan-2,子犯,shiji-kb,0,0,0,23,hu-yan-2,狐偃,shiji-kb,0,0,44,,MED
gai-hou,盖侯,shiji-kb,0,0,0,22,wangxin,王信,json,9,1,,,HIGH
wang-tai-hou,王太后,shiji-kb,0,0,0,28,wang-zhi,王娡,shiji-kb,0,0,34,,MED
ning-yue,宁越,shiji-kb,0,0,0,19,ning-yue-2,甯越,shiji-kb,0,0,33,,MED
tian-guang-xian-sheng,田光先生,shiji-kb,0,0,0,23,tian-guang,田光,shiji-kb,0,0,46,,MED
jing-guo-jun,靖郭君,shiji-kb,0,0,0,22,tian-ying,田婴,shiji-kb,0,0,42,,MED
tian-cheng-zi,田成子,shiji-kb,0,0,0,27,tian-chang,田常,shiji-kb,0,0,48,,MED
zhou-yang-hou,周阳侯,shiji-kb,0,0,0,23,tian-sheng-2,田胜,shiji-kb,0,0,39,,MED
wu-an-hou,武安侯,shiji-kb,0,0,0,23,tian-fen,田蚡,shiji-kb,0,0,47,,MED
shen-zi,申子,shiji-kb,0,0,0,24,shen-bu-hai,申不害,shiji-kb,0,0,45,,MED
gong-tai-zi,恭太子,shiji-kb,0,0,0,25,shen-sheng,申生,shiji-kb,0,0,44,,MED
